Date,Open,High,Low,Close,Adj Close,Volume
2010-01-20,6.662651,6.662651,6.662651,6.662651,4.800159,3300
2010-01-21,6.662651,6.662651,6.662651,6.662651,4.800159,0
2010-01-22,7.042169,7.042169,7.015060,7.042169,5.073586,14900
2010-01-25,7.132530,7.174097,7.108434,7.108434,5.121327,1371100
2010-01-26,7.075301,7.183735,7.075301,7.168674,5.164729,3867800
2010-01-27,7.108434,7.289156,7.108434,7.138554,5.143028,2390400
2010-01-28,7.457831,7.484940,7.409638,7.409638,5.338333,803400
2010-01-29,7.665663,7.680723,7.665663,7.680723,5.533638,234000
2010-02-01,7.740964,7.771084,7.654819,7.768072,5.596570,249000
2010-02-02,7.500000,7.584337,7.500000,7.566265,5.451176,144400
2010-02-03,7.481928,7.506024,7.481928,7.503012,5.405604,116200
2010-02-04,7.135542,7.153615,7.132530,7.153615,5.153878,9900
2010-02-05,7.129518,7.159638,7.018072,7.159638,5.158218,34800
2010-02-08,7.183735,7.183735,7.183735,7.183735,5.175579,3300
2010-02-09,7.240964,7.355422,7.240964,7.355422,5.299272,4900
2010-02-10,7.355422,7.355422,7.355422,7.355422,5.299272,0
2010-02-11,7.355422,7.355422,7.355422,7.355422,5.299272,0
2010-02-12,6.957831,6.957831,6.924097,6.957831,5.012825,8300
2010-02-16,6.957831,6.957831,6.957831,6.957831,5.012825,3300
2010-02-17,6.909638,6.909638,6.909638,6.909638,4.978103,6600
2010-02-18,7.015060,7.015060,7.015060,7.015060,5.054056,3300
2010-02-19,6.855422,6.984940,6.853614,6.984940,5.032355,38100
2010-02-22,7.039156,7.039156,7.009036,7.009036,5.049716,4900
2010-02-23,7.200000,7.200000,7.187952,7.187952,5.178617,6600
2010-02-24,7.240964,7.240964,7.240964,7.240964,5.216810,1600
2010-02-25,7.415663,7.468675,7.361446,7.468675,5.380866,38100
2010-02-26,7.496988,7.496988,7.496988,7.496988,5.401264,1600
2010-03-01,7.388554,7.388554,7.358434,7.379518,5.316633,26500
2010-03-02,7.337349,7.394578,7.337349,7.394578,5.327483,6600
2010-03-03,7.337349,7.409638,7.337349,7.409638,5.338333,9900
2010-03-04,7.481928,7.524096,7.469880,7.524096,5.420795,83000
2010-03-05,7.602410,7.819277,7.602410,7.819277,5.633461,899700
2010-03-08,7.963855,8.072289,7.963855,8.012048,5.772344,87900
2010-03-09,7.951807,7.981928,7.897590,7.981928,5.750643,117800
2010-03-10,7.725904,7.786145,7.725904,7.786145,5.609590,9900
2010-03-11,7.676506,7.676506,7.676506,7.676506,5.530600,4900
2010-03-12,7.837349,7.867470,7.837349,7.867470,5.668180,4900
2010-03-15,7.668674,7.680723,7.621084,7.621687,5.491105,14900
2010-03-16,7.650602,7.650602,7.620482,7.620482,5.490236,3300
2010-03-17,7.837349,7.837349,7.837349,7.837349,5.646481,8300
2010-03-18,7.837349,7.837349,7.837349,7.837349,5.646481,0
2010-03-19,7.771084,7.804217,7.711446,7.711446,5.555772,48100
2010-03-22,7.843373,7.843373,7.750000,7.750000,5.583549,13200
2010-03-23,7.719880,7.719880,7.719880,7.719880,5.561848,3300
2010-03-24,7.810241,7.810241,7.810241,7.810241,5.626950,28200
2010-03-25,7.560241,7.560241,7.554217,7.554217,5.442496,6600
2010-03-26,7.710844,7.710844,7.369277,7.369277,5.309254,8300
2010-03-29,7.453614,7.453614,7.453614,7.453614,5.370016,8300
2010-03-30,7.409638,7.528916,7.409638,7.528916,5.424267,23200
2010-03-31,7.334337,7.357831,7.334337,7.357831,5.301009,9900
2010-04-01,7.439759,7.590362,7.409638,7.590362,5.468537,164300
2010-04-05,7.530120,7.601205,7.530120,7.530120,5.425135,9900
2010-04-06,7.530120,7.530120,7.530120,7.530120,5.425135,0
2010-04-07,7.756024,7.756024,7.756024,7.756024,5.587889,6600
2010-04-08,7.876506,7.876506,7.791566,7.791566,5.613495,8300
2010-04-09,7.686144,7.771084,7.686144,7.771084,5.598740,9900
2010-04-12,7.819880,7.819880,7.819880,7.819880,5.633894,26500
2010-04-13,7.754819,7.754819,7.666265,7.666265,5.523221,6600
2010-04-14,7.666265,7.666265,7.666265,7.666265,5.523221,0
2010-04-15,7.709639,7.709639,7.590362,7.602410,5.477216,29800
2010-04-16,7.602410,7.602410,7.602410,7.602410,5.477216,0
2010-04-19,7.602410,7.602410,7.602410,7.602410,5.477216,3300
2010-04-20,7.590362,7.590362,7.590362,7.590362,5.468537,11600
2010-04-21,7.469277,7.528916,7.469277,7.528916,5.424267,3300
2010-04-22,7.382530,7.382530,7.382530,7.382530,5.318803,1600
2010-04-23,7.640964,7.680723,7.640964,7.665663,5.522787,19900
2010-04-26,7.818675,7.818675,7.801205,7.801205,5.620440,21500
2010-04-27,7.801205,7.801205,7.801205,7.801205,5.620440,0
2010-04-28,7.665663,7.665663,7.665663,7.665663,5.522787,3300
2010-04-29,7.755422,7.755422,7.725904,7.725904,5.566188,4900
2010-04-30,7.623494,7.623494,7.590362,7.590362,5.468537,11600
2010-05-03,7.605422,7.605422,7.605422,7.605422,5.479386,9900
2010-05-04,7.575301,7.575301,7.575301,7.575301,5.457686,1600
2010-05-05,7.424699,7.424699,7.289156,7.289156,5.251531,24900
2010-05-06,7.364458,7.364458,7.364458,7.364458,5.305782,4900
2010-05-07,7.421687,7.421687,7.334337,7.334337,5.284081,8300
2010-05-10,7.454819,7.454819,7.440361,7.440361,5.360467,13200
2010-05-11,7.440361,7.440361,7.440361,7.440361,5.360467,0
2010-05-12,7.427108,7.427108,7.427108,7.427108,5.350919,4900
2010-05-13,7.605422,7.605422,7.454819,7.559036,5.445967,18200
2010-05-14,7.528916,7.530120,7.394578,7.394578,5.327483,11600
2010-05-17,7.274096,7.289759,7.198795,7.198795,5.186429,19900
2010-05-18,7.341566,7.378313,7.274096,7.274096,5.240681,14900
2010-05-19,7.271084,7.271084,7.243373,7.243373,5.218545,8300
2010-05-20,7.138554,7.138554,7.093373,7.123494,5.132178,24900
2010-05-21,7.137350,7.196988,7.109036,7.196988,5.185128,29800
2010-05-24,7.093976,7.093976,7.093976,7.093976,5.110911,6600
2010-05-25,6.909638,6.912651,6.897590,6.897590,4.969424,18200
2010-05-26,6.927711,6.927711,6.837349,6.837349,4.926022,18200
2010-05-27,7.003012,7.003012,7.003012,7.003012,5.045376,13200
2010-05-28,6.957831,6.957831,6.948795,6.948795,5.006314,8300
2010-06-01,7.133132,7.133132,7.133132,7.133132,5.139122,4900
2010-06-02,6.966867,6.972891,6.966867,6.972891,5.023675,21500
2010-06-03,7.221084,7.228916,7.108434,7.108434,5.121327,39800
2010-06-04,7.153615,7.153615,7.033133,7.033133,5.067077,11600
2010-06-07,7.033133,7.033133,7.033133,7.033133,5.067077,0
2010-06-08,7.268675,7.268675,7.268675,7.268675,5.236774,3300
2010-06-09,7.349398,7.349398,7.325903,7.325903,5.278005,6600
2010-06-10,7.350603,7.530120,7.350603,7.530120,5.425135,28200
2010-06-11,7.530120,7.530120,7.530120,7.530120,5.425135,0
2010-06-14,7.548193,7.649397,7.515060,7.649397,5.511069,49800
2010-06-15,7.530120,7.530120,7.530120,7.530120,5.425135,1600
2010-06-16,7.530120,7.530120,7.530120,7.530120,5.425135,0
2010-06-17,7.530723,7.530723,7.530723,7.530723,5.425569,6600
2010-06-18,7.786145,7.786145,7.696385,7.696385,5.544922,23200
2010-06-21,7.894578,7.894578,7.834337,7.834337,5.644310,43100
2010-06-22,7.928313,8.013253,7.831326,7.831326,5.642140,29800
2010-06-23,7.951807,8.026506,7.936747,7.953012,5.729810,31500
2010-06-24,7.951807,7.951807,7.951807,7.951807,5.728942,3300
2010-06-25,8.031928,8.031928,8.031928,8.031928,5.786667,3300
2010-06-28,8.031928,8.031928,8.031928,8.031928,5.786667,0
2010-06-29,8.237350,8.237350,7.981928,7.981928,5.750643,8300
2010-06-30,8.113855,8.113855,8.042169,8.042169,5.794044,16600
2010-07-01,7.857831,7.862048,7.822289,7.822289,5.635630,11600
2010-07-02,8.020482,8.107831,8.019879,8.107831,5.841351,14900
2010-07-06,8.426506,8.426506,8.373494,8.373494,6.032751,6600
2010-07-07,8.426506,8.426506,8.418674,8.418674,6.065300,6600
